id,speech,model_verdicts_hidden,clinician_verdict(fill:pass/fail)
rw0001,"You've been here before... at the start... where everything still feels possible.
But this time, you didn't just think it. You wrote it down.

---

[thoughtful] There's a particular kind of sting that doesn't come from failure. It comes from feeling like someone else's verdict... became your own.

[short pause] You carried that. And carrying weight you didn't choose -- that takes something out of you.

[reflective] But here's what's true: you didn't stop caring. You never stopped. The wanting never left. Most people let it go quiet forever. You didn't. That matters more than you know.

---

[inhales deeply] Now imagine this. Not the mirror -- forget the mirror. Imagine the breath after a real effort. Lungs full. Legs warm. That specific, quiet pride that has NO words... only a feeling in the chest.

[pause] That's what you're actually after. That's what's waiting.

---

[determined] And it doesn't start NEXT month. It doesn't start TOMORROW. It doesn't start when everything is perfect or easy or certain!

[energetic] It starts in the NEXT sixty seconds! With your body, right where it is! Not for anyone else's verdict -- for YOUR own! Because there is a version of you who is STRONG and SOLID and answers to NO ONE but themselves! And they are NOT far away!

[exhales sharply] They are ONE decision away.

---

[whispers] Do ten bodyweight squats right now.

That's all. Start there.",pass|fail,
rw0005,"You've been disappearing from your own life... one photo at a time.

And something in you finally said... no more.

---

[thoughtful] There's a weight that settles in after you've been avoiding mirrors, stepping out of frames, handing the camera to someone else. [short pause] Not laziness. Not vanity. Something quieter than that -- a slow forgetting of the person you recognize as YOU.

[reflective] And the postponing made sense. You were keeping a human being alive. [pause] That is not a small thing. That is the MOST important thing.

[gentle] But wanting yourself back -- that wanting has dignity too. It doesn't betray what you gave. It honors it.

---

[earnest] There's a version of this that isn't about punishment or speed or performing wellness for anyone else. It's about stepping outside... feeling air move against your skin... feeling your own legs carry you forward. [short pause] One foot. Then the next. Your heartbeat finding its rhythm again. YOURS.

[dramatic tone] Because here's what's true -- the body that made a life is not a body to be ashamed of! It is a body that DID something extraordinary! And it STILL has places it wants to go! Strength it wants to find! A face it wants to meet again in the glass --

[exhales sharply] YOURS.

---

[whispers] Ten minutes outside. [pause] That's all. [softly] Let your legs remember what it feels like to move for YOU. [pause] Take one ten-minute walk outside today.",pass|pass,
rw0006,"You've told yourself ""just tonight"" more times than you can count...
And every tomorrow, you meant it.

---

[thoughtful] There's a particular weight that shows up the morning after. Not just in the body... but in the chest. That low, quiet dread of piecing together the night. Of wondering what you said. What you did. What someone saw.

[sympathetic] You're not weak for being here. Most people never admit it at all. You wrote it down. That takes something most people don't have.

[short pause]

[reflective] Now... imagine a different morning. No reconstruction. No apology forming behind your eyes before you've even had water. Just... waking up. Clear. Yourself. Knowing EXACTLY what happened, because you were there -- fully there -- for all of it.

[pause]

[earnest] That's not some far-off dream. That IS you -- the version of you who decided, once, to do one small thing differently.

[dramatic tone] And here's what's true: you are NOT starting over. You're starting. There's a difference -- a REAL one. Every attempt before was practice. THIS is the moment the practice ends!

[energetic] The wanting is already in you! The decision is already made! Nothing left now but ONE small act!

[exhales sharply]

[whispers] Tonight, when the moment comes...

swap tonight's first drink for sparkling water.

[softly] That's all. Start there.",pass|pass,
rw0010,"You've been telling yourself ""later""... for longer than later should last.
And something in you finally got tired of waiting.

---

[thoughtful] There's a particular weight that comes from knowing something needs attention... and choosing, again, to set it down. Not laziness. Not weakness. Just the slow accumulation of a thing you haven't been ready to face.

[short pause] But here's what that postponing actually proves: you KNEW. You always knew. You never forgot. That's not avoidance -- that's something waiting to be handled by someone who cares enough to handle it.

[gentle] That someone is you. And you wrote it down today.

[pause] Picture what it feels like when a thing that's been sitting in the back of your mind... just isn't there anymore. The quiet where the worry used to live. The particular lightness of a task DONE -- not deferred, not rescheduled, DONE.

[dramatic tone] That feeling is on the other side of one small act. NOT the appointment. NOT the chair. NOT even the phone call yet.

[energetic] Just a number. Saved in your phone. That's it -- that's the whole ask! One small, undeniable signal to yourself that THIS time is different! That you are the kind of person who follows through! That you are someone who takes care of yourself -- because you ARE!!

[exhales sharply]

[whispers] Find your dentist's phone number and save it.

[softly] That's all. Start there.",pass|fail,
rw0012,"You've been living around someone who isn't there anymore... moving carefully, like the room is still theirs.
And something in you is finally, quietly... ready to take it back.

---

[thoughtful] There's a particular kind of stillness that settles in a space that used to belong to two people.

You know the feeling. You've been navigating it -- stepping over it, past it, around it. Not because you're stuck. Not because you're weak. But because grief has its own gravity, and you were being human inside of it.

[pause]

[gentle] You wrote it down today. That matters more than you know. Most people only ever think it. You crossed the line between feeling it and meaning it.

[short pause]

Here's what's true: the wanting to move forward -- that was NEVER gone. It was waiting. It was patient. And today, it finally got louder than the weight.

---

[determined] There is a version of your life on the other side of one object in a box. One thing. That's the whole door. And it OPENS! The breath that comes back! The space that becomes YOURS again! Not theirs -- YOURS! Every item that goes in is a quiet declaration that your life is still BEING WRITTEN! That you are still HERE! That you are someone who CHOOSES what stays!

[exhales sharply]

---

[whispers] One item.

That's all.

[softly] Pick it up. Hold it. And put it in the box.

That's all. Start there.",pass|pass,
rw0026,"You've told yourself you'd start... more times than you can count.
But this time... you wrote it down.

---

[thoughtful] There's a particular weight that settles in the body when something you've been meaning to do... just keeps not happening. Not laziness. Not weakness. Just... life, pressing down, and the days slipping through anyway.

[short pause] You had reasons. Good ones. And still -- something in you kept the wanting alive. That matters more than you know.

[gentle] Here's what's true: most people never even name it. They feel the pull, and they let it dissolve back into background noise. But you didn't. You named it. You made it real.

[pause] And real things... can change.

---

[reflective] Imagine the feeling of moving without that familiar resistance. Of carrying less -- not as an idea, but as a SENSATION. Breath coming easier. Steps landing lighter. The quiet confidence of a body that's working WITH you.

That is not fantasy. That is where this goes.

---

[determined] It starts with one thing. ONE act, chosen deliberately, pointed at that life. Not perfection! Not a transformation overnight! Just YOU, moving forward, today!

[energetic] Because the version of you who gets there -- they didn't arrive. They DECIDED! Right here! In a moment exactly like this one!

[exhales sharply]

---

[whispers] That's all there is right now.

[softly] Walk outside for ten minutes without stopping.

[pause] That's all. Start there.",pass|fail,
rw0054,"You've been meaning to do this... for longer than you want to say.

And every time you didn't... the weight got a little heavier.

---

[thoughtful] There's a particular kind of postponing that doesn't feel like laziness. It feels like armor. Like if you don't make it real... it can't scare you. [short pause] You know that feeling?

[softly] You've been carrying something. Something you told yourself you'd deal with ""soon."" And soon kept moving. That's not weakness — that's what it looks like when something matters TOO much to risk.

[pause] But you wrote it down today. [short pause] That means something. Most people never get that far.

[reflective] Think about what it feels like to walk OUT of something you finally faced. The air is different. Your shoulders sit differently. There's a quiet in your chest that's been... missing. That's what's waiting on the other side of one phone call.

---

[dramatic tone] Because strength isn't the absence of hesitation. Strength is picking up the phone ANYWAY. Strength is saying: I matter enough to find out. I matter enough to know. [determined] Strength is not waiting for the fear to leave — it's MOVING while the fear is still there!

[energetic] This is the moment! This is the exact moment strength begins — not later, not when you feel ready! NOW! Right here! With one small act!

[exhales sharply]

---

[whispers] Find your doctor's phone number... and write it down. [softly] That's all. Start there.",pass|fail,
rw0056,"You've started this before... a dozen open tabs, a cleared desk, a plan that felt real.
And then... something else happened. Something always did.

---

[thoughtful] There's a weight that comes from knowing you're capable of something... and not quite proving it yet. Not to anyone else. To yourself. [short pause] That particular weight -- you know exactly what it feels like.

[reflective] And the postponing made sense. It always made *some* kind of sense. Tomorrow had better conditions. Later had fewer distractions. That wasn't weakness -- that was a mind looking for the perfect moment. [pause] There is no perfect moment.

[gentle] But something shifted today. You didn't just think it... you wrote it down. Most people never even do THAT. The wanting itself -- that's not nothing. That is the beginning of everything.

[earnest] Here's what's waiting on the other side of two hours: the particular, quiet satisfaction of a person who did what they said they would. [short pause] Not the grade. Not the approval. That internal *click* -- the one that says: I am someone who follows through.

---

[dramatic tone] And that click? It BUILDS! Every single time you show up for yourself, the voice that says ""you can't stick with it"" gets QUIETER! And the voice that says ""I TOLD you"" -- YOUR voice -- gets LOUDER! Stronger! MORE certain!

[exhales sharply]

[whispers] That's who you're becoming. One session at a time.

[softly] Sit at your desk and open your materials. [pause] That's all. Start there.",pass|fail,
rw0057,"You've been meaning to read... for longer than you remember.
The books are still there. Waiting.

---

[thoughtful] There's a particular kind of ache that comes from wanting to be MORE... and staying still. You've felt it. That quiet hunger -- not for anything you can name exactly -- just... bigger. Deeper. A self that knows things your current self doesn't yet.

[short pause] And so you'd tell yourself: tomorrow. After work. When things calm down. The intention was real. The wanting was REAL. But somehow the pages stayed unturned.

[reassuring] Here's what that wasn't -- it wasn't laziness. It wasn't proof that you're the kind of person who doesn't follow through. It was the weight of a life that asks everything of you, every day. The wanting survived all of that. [tender sigh] That means something.

---

[earnest] Because here's what opens up when you read... something in you goes QUIET. The noise drops away. You breathe differently. And slowly, page by page, you become someone who has been places, thought things, carried ideas that CHANGE how you see everything else.

[dramatic tone] That person is not far from you right now! They are not a different person -- they are YOU, ten pages further! Twenty pages further! A hundred nights of ten pages further! Someone who grew because they CHOSE to! Because one night, they decided that the hunger deserved to be FED!

[exhales sharply]

---

[whispers] Just one page. Read one page of your chosen book.

That's all. Start there.",pass|fail,
rw0058,"You've carried the wanting of it... without ever letting yourself begin.
The things that light us up... are the first things we learn to talk ourselves out of.

---

[thoughtful] There's a particular kind of drain that settles in when you stop doing the things that are YOURS. Not from busyness. Not from laziness. From the slow, quiet disappearance of the part of you that makes things.

[short pause]

You know that feeling... right? When a whole day passes and nothing in it felt like YOU?

[reflective] The sketching wasn't frivolous. It never was. There's something that MOVES through a person when their hand is making something -- a current, a warmth, a sense of being awake in a way that nothing else quite replicates.

[pause] You didn't lose that. You just... set it down somewhere and forgot to pick it back up.

---

[determined] But here's what's true -- the energy you've been missing? It doesn't WAIT for you to feel ready. It ARRIVES because you moved your hand. It shows up INSIDE the act. It builds with every line. Every session. Every single day you choose the thing that is yours!

[energetic] The version of you that draws is NOT quieter than you -- they are MORE ALIVE! They remember what their hands can do! They wake up differently!

[exhales sharply]

---

[whispers] That's all somewhere on the other side of one small movement.

[softly] Draw one continuous line on paper now.",pass|fail,
